review_id,marketplace,customer_id,product_id,product_parent,product_title,product_category,star_rating,helpful_votes,total_votes,vine,verified_purchase,review_headline,review_body,review_date,created_at,updated_at,deleted_at
R1000AMVKPW32O,US,14853566,B001GTT0VO,927992098,Cheetah Mounts ALAMB Articulating Arm (15â€ Extension) TV Wall Mount Bracket for 12-24â€ TVs and Displays up to VESA 1,Electronics,0,0,0,,,,,,2021-09-30 16:27:09,,
R1000EG9XXBLXT,US,36769042,B000BYGGBW,622879198,Hewlett Packard 16X 4.7GB DVD+R 100pk Spindle (Discontinued by Manufacturer),Electronics,0,0,0,,,,,,2021-09-30 16:27:09,,
R1000JAPO8JJG3,US,40968249,B000EUGX70,424464879,Logitech Harmony 550 Remotes,Electronics,0,0,0,,,,,,2021-09-30 16:27:09,,
R1000K9CAN0EKG,US,43145645,B000CBURC8,276230742,HMLKIDSCD20 - Hamilton Buhl Kids Audio CD Player Karaoke Machine with Microphone,Electronics,0,0,0,,,,,,2021-09-30 16:27:09,,
R1000MM8TFC8KG,US,50552205,B001IV797M,309518557,Diamond CMW178 Articulating Wall Mount for 23 Inch to 40 Inch Displays Black,Electronics,0,0,0,,,,,,2021-09-30 16:27:09,,
R1001I5QOGRLIX,US,20916618,B002MAPSQM,450489452,SanDisk Sansa Clip+ 2 GB MP3 Player - Black,Electronics,0,0,0,,,,,,2021-09-30 16:27:09,,
R1001I7TIAFINI,US,48262416,B0052JI3S0,463473170,Victoria Tunewriter III 7-in-1 Stereo Entertainment Center,Electronics,0,0,0,,,,,,2021-09-30 16:27:09,,
R1001J13VSFJBD,US,40690272,B000063574,881797629,iriver SlimX iMP-350 CD/MP3 Player with Ultraslim Design,Electronics,0,0,0,,,,,,2021-09-30 16:27:09,,
R1001NPICDY11Z,US,53078188,B0007RPW3Q,49030887,Sony WM-FX197 AM/FM Cassette Walkman,Electronics,0,0,0,,,,,,2021-09-30 16:27:09,,
R1001O40ALHBC5,US,30764125,B0033ZP5YA,365606844,Neewer Retractable 3.5mm Aux Auxiliary Cord for 3.5 mm headphone jack Devices-Black,Electronics,0,0,0,,,,,,2021-09-30 16:27:09,,
R1001P9HM6I39Z,US,34097140,B0009YJXMS,633086947,Verbatim DVD+R Branded Surface,Electronics,0,0,0,,,,,,2021-09-30 16:27:09,,
R1001PXR1OM4TK,US,20172048,B0036VJ1OQ,765885287,Ckitze 6-Pack Round American to European Outlet Plug Adapter,Electronics,0,0,0,,,,,,2021-09-30 16:27:09,,
R1002P4LYQAYR9,US,52513641,B004SCSV2U,610829045,"OREI Grounded Universal 2 in 1 Plug Adapter Type G for UK, Hong Kong, Singapore & more - CE Certified - RoHS Compliant W",Electronics,0,0,0,,,,,,2021-09-30 16:27:09,,
R1002QJMQCFUFR,US,37931617,B0015AM3B8,592152126,Sony MDR-E10LP/Pblu Headphones - Fashion Earbuds -Blue,Electronics,0,0,0,,,,,,2021-09-30 16:27:09,,
R1002QVIIPQ0U4,US,43946486,B005EIVL74,867954831,Sennheiser CX 215 Earphones,Electronics,0,0,0,,,,,,2021-09-30 16:27:09,,
R1002X0ALUL3CZ,US,20305345,B008KVUAGU,781032079,Mediasonic Homeworx HW110AN Super Thin Indoor HDTV Antenna - 25 Miles Range,Electronics,0,0,0,,,,,,2021-09-30 16:27:09,,
R1002XWWPPD9C7,US,26379118,B005N6ICXS,256109912,ImageÂ® 4 Channel Wireless Audio Video AV Transmitter Receiver with IR Remote Extension Wire (Black),Electronics,0,0,0,,,,,,2021-09-30 16:27:09,,
R1002ZNXMBXVPC,US,12997887,B002AWKEZW,333610011,Boston Acoustics HSi255-0XX00 In-Wall Speaker,Electronics,0,0,0,,,,,,2021-09-30 16:27:09,,
R10031EZTETSNH,US,44496006,B00006HOE3,846584600,Maxell 625156 Recordable Cd (Audio Only),Electronics,0,0,0,,,,,,2021-09-30 16:27:09,,
R1003GKMTTSERJ,US,11339771,B006WBO6C4,128520772,Hello Kitty AM/FM Stereo Alarm Clock Radio with Top Loading CD Player,Electronics,0,0,0,,,,,,2021-09-30 16:27:09,,
R1003GZYUXGON7,US,12005367,B0088XC5ZY,791003737,AWM Timex T715B Dual Alarm Clock Radio - Clock Radios,Electronics,0,0,0,,,,,,2021-09-30 16:27:09,,
R1003HYTJ2RHYU,US,11724893,B005JT8OT6,935945404,FiiO E6 Headphone Amplifier with Micca Y Cable,Electronics,0,0,0,,,,,,2021-09-30 16:27:09,,
